Date,AAPL,MSFT,NVDA,GOOGL,META,AMZN,JPM,GS,BAC,MS,WFC,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,SBIN.NS,^GSPC,^NSEI,^IXIC,^DJI
2015-01-01,100.72104759574873,97.90791185570632,101.7044168639464,101.89981615335051,100.50616257630271,97.93008118113096,99.32538306337364,98.74097473035725,97.04017277158508,99.12818054664017,99.44187194678285,1500.4478638210726,1513.0798720287435,1471.5485630607297,1491.515487956166,1520.3680213964408,1496.9350498089432,99.68170775771917,1485.9874150231085,100.63125725835266,100.64176026202254
2015-01-02,100.55847723318148,95.77982611940202,99.6864286571436,100.87675536245484,100.47629765069979,96.5315896656212,100.47193625029738,97.39285814565551,99.477296679822,100.20339297738867,99.87353287499192,1515.7648019154476,1548.7028815714662,1471.6458348144613,1465.7694002634614,1522.2952642185348,1497.755403028221,99.12361542015266,1495.6935004735742,97.8937634959207,98.7925358535229
2015-01-05,101.49568998441394,94.10864246354768,101.88292557851202,97.74116629942925,101.28410357411953,96.23550759141072,100.34726525726285,96.49403230249315,98.79257603971189,100.09820170949956,100.31083156558383,1533.8936323575463,1555.5094143973563,1473.7093828138036,1452.1961791891993,1533.3742046162856,1508.164621981844,98.83741924639365,1483.2159919688,95.6852991192735,99.30794078234449
2015-01-06,103.69193479863357,94.89909308688122,102.96717395844053,96.57313272340998,100.44496390343882,95.2406078343388,100.2656648454924,96.4929069739791,100.59635760932915,97.90434369106278,101.14612697605263,1515.5558677386537,1567.8058228892703,1530.746398903621,1454.435280146759,1502.22885194119,1498.1618796756184,98.89625235770859,1474.8423245376723,95.18674186887661,100.88901865237001
2015-01-07,103.38708704314384,94.99933909524259,103.69407449639651,96.2008382531649,100.92834549009706,95.35325298435366,100.73293726153756,97.06979638717168,99.5437220851506,96.94733557304004,101.8935005045308,1539.339018413538,1569.5025956987276,1511.2974475739015,1470.1514021606843,1517.8424178801718,1469.5790769126256,101.19143999116878,1476.5241609165437,93.15298208195993,98.88717979147437
2015-01-08,103.08315897525078,94.93555654746224,102.64279202668001,99.62605102039457,100.54056063596377,97.69764279232675,100.1257286939811,98.14756477047689,97.9452950392726,95.97316482884298,100.83712498341097,1510.6059395751538,1588.1126751055115,1503.2957557750335,1438.9090393644758,1528.8277850042343,1455.325033614547,100.96434749856672,1472.0629662512124,92.72847906472083,98.70155531727627
2015-01-09,105.39578631549547,96.21330550174567,104.00693677357091,100.52836656957584,101.23809915833002,97.40467823807477,101.06830231016752,95.86974759055316,98.38886273751918,96.49931462169215,99.88721922207775,1517.1643212198198,1631.1954566140398,1506.7779394961083,1409.569713385157,1508.595708975173,1464.4159411974997,98.43741521101862,1492.008328304521,90.10554390413733,100.9091703205742
2015-01-12,106.55476694322536,97.18642000549012,105.70236347380518,100.4255345282661,101.25149947948155,98.00491685696733,100.54351042872649,96.51679000073645,98.5955356879317,95.35972413607075,101.18830451461231,1516.3241566167421,1677.268855041249,1529.1396567586314,1426.6371037694928,1511.436373786774,1447.7583605346422,98.1523989024066,1492.9623751610206,88.40161822087455,101.89639983939736
2015-01-13,105.89558768243839,99.55406779274458,104.706987769735,101.16832003628615,102.0135416507702,94.16187456801276,102.95732149154406,94.51038129980361,99.39906980297867,95.5716495657196,102.1689790397279,1534.6866737443843,1685.0812590246867,1552.2727190885653,1407.4321653355844,1542.8294150123454,1421.9726520059771,100.03269533001313,1508.4836557078263,88.61851189142091,101.15884099503145
2015-01-14,106.72693421999844,100.82681485205755,103.7647375512814,101.55822419677514,100.76295687971093,94.7501473228911,103.31470823518178,94.72206607810709,99.61426624478152,95.63064856861948,104.37115226779446,1541.2055788438227,1658.561996957036,1576.7377115947293,1439.0411000200986,1512.4622317162964,1425.2228088890383,99.63398677684549,1470.7249275217548,88.28371577282167,104.8246767302746
2015-01-15,106.07559326800293,101.59466308139812,102.3197300566611,100.61690000667087,102.32720975155212,96.09926836292482,102.39057469343906,94.6914092170293,99.0836827545518,93.5716413405575,105.8338091769341,1566.738799607976,1679.5599249761362,1575.4386404315385,1417.5264743637854,1533.012047385688,1395.5006277230907,100.87972348408545,1469.3681752695177,91.40499524993274,104.23316154281483
