Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1513.5258351696089,1532.5556396135141,1501.6440773166794,1513.0798720287435,1513.0798720287435,2456572
2015-01-02,1554.178544658539,1561.7442795069946,1533.138444062604,1548.7028815714662,1548.7028815714662,4554951
2015-01-05,1540.5923308502838,1562.6254764669907,1529.7689712653432,1555.5094143973563,1555.5094143973563,1801795
2015-01-06,1556.8123054995165,1578.0165526475432,1526.4767527069278,1567.8058228892703,1567.8058228892703,4975665
2015-01-07,1583.322237812668,1613.1185865125192,1538.775365729551,1569.5025956987276,1569.5025956987276,4810950
2015-01-08,1589.8174399359439,1607.3569135397222,1576.5651293670783,1588.1126751055115,1588.1126751055115,1807968
2015-01-09,1646.4233029073243,1649.9162710049475,1627.9756536228506,1631.1954566140398,1631.1954566140398,2740615
2015-01-12,1679.7737736726897,1698.2942804558786,1658.860463138754,1677.268855041249,1677.268855041249,4572066
2015-01-13,1694.8396293173919,1711.2268586709295,1670.7764260720892,1685.0812590246867,1685.0812590246867,3423250
2015-01-14,1660.670291052914,1663.1426500772316,1629.5643876951403,1658.561996957036,1658.561996957036,3738860
2015-01-15,1677.099487030439,1695.6182363384225,1643.7390167556102,1679.5599249761362,1679.5599249761362,511179
2015-01-16,1661.0045999085467,1700.1234986136362,1642.7478138286956,1672.0890474478279,1672.0890474478279,4056114
2015-01-19,1648.6411410415787,1655.2135018827607,1621.2940692946484,1654.6968967495093,1654.6968967495093,1107525
2015-01-20,1670.0220698291191,1686.8367838647755,1632.2935313558348,1659.5236654617404,1659.5236654617404,990065
2015-01-21,1635.9599050644863,1658.8584361842795,1630.2311844115757,1649.2458513382164,1649.2458513382164,3827834
2015-01-22,1622.4546402530978,1636.8353460348035,1617.9980586315182,1629.4097855584923,1629.4097855584923,2454571
2015-01-23,1615.853024609499,1631.7230188218343,1601.1560471548403,1606.5678611320723,1606.5678611320723,3791548
2015-01-26,1654.9360933637452,1664.4697665627834,1631.9019168195182,1643.9770475880734,1643.9770475880734,427695
2015-01-27,1643.8407906406417,1664.745486256821,1637.7007269254866,1648.2447988264628,1648.2447988264628,3021545
2015-01-28,1634.0395722553417,1649.6165227021972,1620.1542339537236,1640.6217910274547,1640.6217910274547,1169798
2015-01-29,1643.7475490326656,1650.6449318628133,1607.0423637355666,1636.9461370186145,1636.9461370186145,3849934
2015-01-30,1659.0854786864688,1679.1486631364962,1626.7919366305234,1651.327474329976,1651.327474329976,2680058
2015-02-02,1659.2184894483764,1676.450966322997,1647.7932632849916,1659.6751784258424,1659.6751784258424,950444
2015-02-03,1635.6429733842067,1660.5657900260712,1620.2044335070211,1642.2765387912202,1642.2765387912202,1783197
2015-02-04,1649.3110263043047,1681.0415679653747,1619.9301557150113,1654.9093501745372,1654.9093501745372,3722607
2015-02-05,1651.24693938867,1677.0641753772638,1650.4160941268244,1650.7169232143249,1650.7169232143249,2443194
2015-02-06,1642.6093065661596,1680.357575947958,1631.711404361919,1650.0719731084173,1650.0719731084173,2509312
2015-02-09,1667.7969747853115,1669.263298608075,1652.8187601033299,1665.7462060049236,1665.7462060049236,2423097
2015-02-10,1621.2031579565646,1655.9919057235718,1620.824435958004,1637.339807841526,1637.339807841526,2142029
2015-02-11,1628.64475219167,1639.0347881578318,1596.8141106691255,1634.2431151985606,1634.2431151985606,3423051
2015-02-12,1616.840146938446,1657.3475597179356,1603.0478250838462,1626.6592213126248,1626.6592213126248,4346545
2015-02-13,1653.711238691397,1661.4975473039115,1622.64387819353,1643.0194783555455,1643.0194783555455,4085477
2015-02-16,1613.240865203469,1625.2556607889614,1583.6309561731157,1623.9428895342235,1623.9428895342235,1758237
2015-02-17,1622.2909528530863,1630.1142769181945,1608.496616347481,1610.4395618029848,1610.4395618029848,2791630
2015-02-18,1594.935570593313,1630.6160541355316,1574.5157295190163,1610.9356179239246,1610.9356179239246,2959241
2015-02-19,1621.1748761815668,1643.8370849500584,1607.0965616802353,1624.2375568899256,1624.2375568899256,1436512
2015-02-20,1619.8955226354321,1642.6473592503608,1594.7175348210903,1629.7301449323404,1629.7301449323404,200826
2015-02-23,1587.1513326261502,1606.106861974483,1572.780138263962,1587.1739819516806,1587.1739819516806,1304418
2015-02-24,1603.8398806071102,1637.9317645421088,1598.6266761795475,1607.1127179323837,1607.1127179323837,1063595
2015-02-25,1580.9218375188348,1609.1395031372845,1552.370811464759,1589.6272308970376,1589.6272308970376,1326275
2015-02-26,1596.8734401744173,1606.217453930725,1570.828773080745,1586.0240803923737,1586.0240803923737,2992979
2015-02-27,1557.3102477823688,1581.1942566377375,1534.4801637195142,1553.4216866930567,1553.4216866930567,4979289
2015-03-02,1579.0434607777518,1585.1692270525243,1573.6674941548167,1575.3886715014892,1575.3886715014892,4908837
