,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS
2018-01-02,0.005551414540904354,0.007360517196276062,0.010338308791658646,0.004403371112303045,-0.023702842295900917,0.00416065419305367,0.0040716951366654985,0.02330898994975006
2018-01-03,-0.014339109977937303,0.005533591925860115,0.021112122906896458,0.01759744186601786,0.004392259955775302,-0.011924997587745678,-0.011998331455127187,0.0027946770462814463
2018-01-04,0.0026792083427411573,-0.020230955111952387,0.0022282308158694253,0.005995960931443722,0.0006238305899024521,0.0012835228290049017,0.005117647593573249,-0.013742345263743294
2018-01-05,0.010457901019312654,0.01714926581949916,0.0005711247271287245,-0.019715794194729575,-0.0188705197483221,0.009355885564330535,-0.006038271640893433,0.006992118729391317
2018-01-08,-0.008556028980147179,-0.023758969635562455,0.016494170724372426,-0.008403593579609736,-0.004837138296456267,0.014584704330703246,-0.0010885119502517249,-0.002626156175081107
2018-01-09,-0.013014051378205993,-0.005613088839390823,0.012905078368126599,-0.0017744923231147736,-0.002332370907119019,0.01770783088980843,-0.02287605713265184,0.006838219125197664
2018-01-10,0.003164284456399047,0.014023036162041036,0.002900353684414325,-0.019018438511551383,0.005164375888025541,0.005122797328612982,0.03171241359671173,0.009900264131683434
2018-01-11,-0.029447588546367198,0.027838950405058904,-0.009347845983364134,-0.01348445723108116,-0.01647175033270487,0.03707288089497163,-0.011789951149853928,0.02546242388800235
2018-01-12,-0.013406385730055814,0.003731159590480315,0.011427856321609475,0.014505900629639745,-0.022073955658146738,0.008059737029807001,0.01951544591010035,0.001084336274423281
2018-01-15,0.006781383240233696,0.007298133749282565,-0.0021327337848275896,0.012105354787330658,-0.008507313890859458,-0.0077982564363070495,0.017580517626659686,-0.000577320758749722
2018-01-16,0.029235715768240356,0.0003516357041719598,0.0010024235037255913,0.014339150659908872,0.0032492155918939503,-0.004927747949169836,-0.003288484320327134,-0.013260199158863895
2018-01-17,0.010361904923825715,0.03234756385856552,0.001938081189160279,0.0031211061101554805,0.010652668003479304,-0.018260459321705613,0.011127774876727115,0.008828832241223328
2018-01-18,-0.006438682630454551,-0.021080642956323614,-0.0024447740685200614,-0.005898741013109388,-0.00463594516526189,0.0031472940778498604,-0.019713831210330768,-0.005146529277574419
2018-01-19,-0.0330707320849668,-0.0096924801946775,0.008393968278793684,-0.004584860029872018,0.010698675822456316,-0.01680147088308015,0.02557918880687926,0.0009868319606938236
2018-01-22,0.010646107976230335,-0.0029191054865495003,0.0169321189769156,0.0033570267479763327,0.0026631406444057593,-0.013773796677665873,-0.02196969061879117,0.008433138118417727
2018-01-23,0.008307680460234224,0.010508939296801856,0.002915514585536183,0.027635569921082626,-0.015235684210656686,0.012670227723035277,-0.013148710755519044,0.008922935976263924
2018-01-24,-0.021325295747536388,0.010144667507703264,-0.003984985652443318,-0.00838657050473024,0.03323848447663247,0.03241262646995535,-0.009322170358807225,-0.02959253852178001
2018-01-25,-0.007853861901662373,-0.00646111579445896,-0.025329720059089955,0.02933176801955395,0.005707072821885761,-0.01277018804698915,0.02050987454778519,-0.0261210347162093
2018-01-26,-0.006592309944151498,0.00029603757371887696,0.0026011886132282225,0.006882437909645267,0.00925768949767014,-0.0007341721676372703,0.0086000755118667,0.016741857538306926
2018-01-29,0.04834854890838702,0.00502233824619136,0.006440553055194975,0.01596731672729068,-0.020942728158736545,-0.015374510312219591,-0.02675151775043727,-0.0289024792602387
2018-01-30,-0.023304635171700783,-0.010982575922519389,0.009478259707937475,-0.0005209516149105031,-0.01105470023789401,0.012188750852265562,-0.00973353103693897,0.010116474859428015
2018-01-31,0.01650869524137888,-0.008886155527874529,0.0017934625878466282,-0.008521193041045483,-0.02548166882564007,-0.008900975978306969,-0.03252460217267017,-0.001631764775223088
2018-02-01,0.004149870394274835,-0.01083324033233768,0.026141669621841057,0.0005172450876025358,0.00930261181510561,-0.039666137696539594,0.030538319837927652,0.008052726792865395
2018-02-02,0.01834573018386676,0.0181620391505124,-0.000951549358545245,-0.011825314604287596,0.001569762432853894,-0.005739097998523346,-0.004443320630813763,0.021599518926734618
2018-02-05,-0.02133158581854866,0.0007817454523963985,0.03146012417517974,0.0014591358301789814,-0.026442028789089744,-0.022810518559510662,-0.024576622312097895,0.016094183238782644
2018-02-06,0.005502050606084108,0.015994764637709658,0.010179693524462019,-0.00022551981284835154,-0.018490972998918,0.0012388692260438816,-0.01565937512347304,0.008255048571657708
2018-02-07,0.01291983922257689,0.015517178296591938,0.008635114486801099,-0.005390323666862207,-0.012392966527087323,0.004878446435978123,0.00035178083031883745,0.012744845013594741
2018-02-08,0.00016959544910966073,0.021107584894660247,0.007237276069861576,-0.009512573830095072,-0.0230405910159851,0.011254315839665852,0.011491059294201467,-0.01724054341005732
2018-02-09,-0.013214568726329756,-0.011787795921869737,-0.015682671596255693,-0.014864020261226907,-0.01609727159945773,0.015638713935627768,-0.00028649706668659736,0.01933950454440314
2018-02-12,0.0021874318084436073,0.009642870746263021,0.017231329737376067,0.01064180793878422,-0.01264941235490502,0.004161050414392964,-0.001077546156983522,0.0010778089509246858
2018-02-13,-0.0184219017285715,-0.013000414758894463,-0.024002747659180534,0.004982669605483769,0.010569299790283981,-0.007120475934688453,0.008872589454713253,-0.013705520953487205
2018-02-14,0.0015779338815860022,0.012486043458882712,0.005295234752666467,0.005181949132734509,0.0006152128548913005,-0.009742916995471473,-0.015364827843343032,-0.017443908264715424
2018-02-15,0.0011781886695221289,0.004219253749990104,0.0041487790220682275,-0.005682548444639557,0.018724081748406896,-0.027383915408116244,0.02211714876741322,0.012962207307185114
2018-02-16,0.012313660430313345,0.012053589194381154,0.03476297414269691,0.0063060545108237775,-0.0020024984071925767,-0.00505758787549393,-0.0012697981422532534,-0.004980437944217098
2018-02-19,-0.0013388133612129982,-0.002025859389882312,0.014403408954325903,-0.005216317648758739,0.009939119208451697,0.0003205380355135734,-0.005706986676295989,0.0015616093940826747
